ID,guests_count
2026-04-27-07,40
2026-04-27-08,60
2026-04-27-09,73
2026-04-27-10,66
2026-04-27-11,83
2026-04-27-12,132
2026-04-27-13,147
2026-04-27-14,137
2026-04-27-15,132
2026-04-27-16,123
2026-04-27-17,125
2026-04-27-18,128
2026-04-27-19,119
2026-04-27-20,104
2026-04-27-21,87
2026-04-27-22,76
2026-04-28-07,46
2026-04-28-08,76
2026-04-28-09,87
2026-04-28-10,75
2026-04-28-11,104
2026-04-28-12,163
2026-04-28-13,169
2026-04-28-14,152
2026-04-28-15,142
2026-04-28-16,130
2026-04-28-17,129
2026-04-28-18,140
2026-04-28-19,130
2026-04-28-20,111
2026-04-28-21,91
2026-04-28-22,72
2026-04-29-07,49
2026-04-29-08,80
2026-04-29-09,88
2026-04-29-10,80
2026-04-29-11,97
2026-04-29-12,159
2026-04-29-13,171
2026-04-29-14,150
2026-04-29-15,142
2026-04-29-16,128
2026-04-29-17,132
2026-04-29-18,149
2026-04-29-19,137
2026-04-29-20,114
2026-04-29-21,89
2026-04-29-22,75
2026-04-30-07,51
2026-04-30-08,81
2026-04-30-09,90
2026-04-30-10,77
2026-04-30-11,112
2026-04-30-12,166
2026-04-30-13,177
2026-04-30-14,161
2026-04-30-15,148
2026-04-30-16,130
2026-04-30-17,143
2026-04-30-18,146
2026-04-30-19,136
2026-04-30-20,121
2026-04-30-21,101
2026-04-30-22,84
2026-05-01-07,30
2026-05-01-08,43
2026-05-01-09,52
2026-05-01-10,54
2026-05-01-11,59
2026-05-01-12,87
2026-05-01-13,98
2026-05-01-14,114
2026-05-01-15,113
2026-05-01-16,117
2026-05-01-17,123
2026-05-01-18,121
2026-05-01-19,111
2026-05-01-20,100
2026-05-01-21,92
2026-05-01-22,75
2026-05-02-07,27
2026-05-02-08,43
2026-05-02-09,59
2026-05-02-10,62
2026-05-02-11,79
2026-05-02-12,107
2026-05-02-13,127
2026-05-02-14,127
2026-05-02-15,136
2026-05-02-16,136
2026-05-02-17,138
2026-05-02-18,132
2026-05-02-19,119
2026-05-02-20,105
2026-05-02-21,96
2026-05-02-22,97
2026-05-03-07,23
2026-05-03-08,37
2026-05-03-09,49
2026-05-03-10,51
2026-05-03-11,56
2026-05-03-12,78
2026-05-03-13,98
2026-05-03-14,110
2026-05-03-15,119
2026-05-03-16,123
2026-05-03-17,128
2026-05-03-18,124
2026-05-03-19,112
2026-05-03-20,101
2026-05-03-21,87
2026-05-03-22,88
