employee_id,total_hours,working_days,shifts,avg_shift_duration,stations_used
0,3,1,1,3.0,TS
1,38,5,5,7.6,"BVR,K"
2,39,5,5,7.8,"C,FF"
3,28,4,4,7.0,"BVR,FF,TS"
4,35,5,5,7.0,"K,TS"
5,19,5,5,3.8,"C,K"
6,29,5,5,5.8,C
7,38,5,5,7.6,"C,K"
8,38,5,5,7.6,"K,TS"
9,3,1,1,3.0,FF
10,3,1,1,3.0,BVR
11,35,5,5,7.0,"C,K,TS"
12,3,1,1,3.0,K
13,6,2,2,3.0,"C,TS"
14,38,5,5,7.6,"C,K"
15,37,5,5,7.4,"C,K,TS"
16,10,3,3,3.33,C
17,35,5,5,7.0,K
18,6,2,2,3.0,C
19,35,5,5,7.0,"BVR,C,FF,TS"
20,28,4,4,7.0,"BVR,FF,TS"
21,6,2,2,3.0,K
22,8,2,2,4.0,C
23,16,2,2,8.0,K
24,3,1,1,3.0,C
25,6,2,2,3.0,C
26,3,1,1,3.0,FF
27,14,4,4,3.5,C
28,39,5,5,7.8,"BVR,K"
29,3,1,1,3.0,C
30,20,4,4,5.0,C
31,36,5,5,7.2,"BVR,K"
32,39,5,5,7.8,C
33,24,5,5,4.8,"BVR,C,FF"
34,10,3,3,3.33,C
35,3,1,1,3.0,C
36,15,3,3,5.0,"BVR,C"
37,12,4,4,3.0,C
38,8,2,2,4.0,C
39,3,1,1,3.0,C
40,3,1,1,3.0,K
41,6,2,2,3.0,C
42,9,3,3,3.0,C
43,39,5,5,7.8,"BVR,K"
44,38,5,5,7.6,K
45,10,3,3,3.33,C
46,3,1,1,3.0,C
47,35,5,5,7.0,"BVR,C,FF"
48,3,1,1,3.0,FF
49,3,1,1,3.0,K
50,22,4,4,5.5,"C,FF,TS"
51,8,2,2,4.0,C
52,36,5,5,7.2,"BVR,K"
53,3,1,1,3.0,K
54,34,5,5,6.8,"K,TS"
55,3,1,1,3.0,C
56,3,1,1,3.0,K
57,4,1,1,4.0,C
58,3,1,1,3.0,FF
59,36,5,5,7.2,K
60,3,1,1,3.0,C
61,4,1,1,4.0,C
62,3,1,1,3.0,BVR
63,3,1,1,3.0,C
64,3,1,1,3.0,TS
65,3,1,1,3.0,K
66,36,5,5,7.2,"BVR,K"
67,4,1,1,4.0,TS
68,11,2,2,5.5,C
